sample_path|masked_mos|mos_bigvgan|mos_hifi_gan|distance_mos_bigvgan|distance_mos_hifi_gan|masked_distance_mos_bigvgan|masked_distance_mos_hifi_gan|mos_init_bigvgan|mos_init_hifi_gan
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=100_skip=150_cp=112000_mel_text=True_phoneme-without-space/w1=1_w2=0.7_asr_start=270_mask=True/sample_2162|3.2018|3.0836|3.1864|0.2657|0.2955|0.5058|0.5094|3.497|3.646
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=100_skip=150_cp=112000_mel_text=True_phoneme-without-space/w1=1_w2=0.7_asr_start=270_mask=True/sample_69|3.996|3.1685|3.2439|0.3986|0.479|0.5749|0.518|3.6541|3.9921
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=100_skip=150_cp=112000_mel_text=True_phoneme-without-space/w1=1_w2=0.7_asr_start=270_mask=True/sample_1885|3.5489|3.2076|3.2506|0.3945|0.3356|0.594|0.6096|3.8225|3.8529
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=100_skip=150_cp=112000_mel_text=True_phoneme-without-space/w1=1_w2=0.7_asr_start=270_mask=True/sample_317|4.1435|3.8409|3.8538|0.2929|0.3255|0.4579|0.4439|4.1606|4.3045
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=100_skip=150_cp=112000_mel_text=True_phoneme-without-space/w1=1_w2=0.7_asr_start=270_mask=True/sample_1861|3.9592|2.9508|3.2334|0.35|0.3749|0.5545|0.4889|3.5518|3.966
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=100_skip=150_cp=112000_mel_text=True_phoneme-without-space/w1=1_w2=0.7_asr_start=270_mask=True/sample_80|3.8769|3.6046|3.8491|0.1442|0.1404|0.5495|0.4789|3.66|3.8909
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=100_skip=150_cp=112000_mel_text=True_phoneme-without-space/w1=1_w2=0.7_asr_start=270_mask=True/sample_1962|4.4747|3.6941|3.8449|0.2555|0.2848|0.509|0.4564|4.1086|4.2779
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=100_skip=150_cp=112000_mel_text=True_phoneme-without-space/w1=1_w2=0.7_asr_start=270_mask=True/sample_304|4.1865|3.6325|3.5336|0.3248|0.3603|0.5117|0.5119|4.0362|4.0955
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=100_skip=150_cp=112000_mel_text=True_phoneme-without-space/w1=1_w2=0.7_asr_start=270_mask=True/sample_1816|3.9836|3.6684|3.9601|0.2944|0.2994|0.6187|0.5894|4.0235|4.3611
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=100_skip=150_cp=112000_mel_text=True_phoneme-without-space/w1=1_w2=0.7_asr_start=270_mask=True/sample_1529|3.8829|3.528|3.7275|0.2539|0.2583|0.4|0.3847|3.9584|4.1179
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=100_skip=150_cp=112000_mel_text=True_phoneme-without-space/w1=1_w2=0.7_asr_start=270_mask=True/sample_1667|2.9138|2.6021|2.8547|0.2046|0.2124|0.6263|0.5222|2.8631|3.1438
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=100_skip=150_cp=112000_mel_text=True_phoneme-without-space/w1=1_w2=0.7_asr_start=270_mask=True/sample_1809|4.3648|3.8752|3.9943|0.2802|0.363|0.5084|0.499|4.2252|4.5473
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=100_skip=150_cp=112000_mel_text=True_phoneme-without-space/w1=1_w2=0.7_asr_start=270_mask=True/sample_582|4.001|3.6296|3.9862|0.3132|0.2593|0.4462|0.4288|3.9937|4.2714
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=100_skip=150_cp=112000_mel_text=True_phoneme-without-space/w1=1_w2=0.7_asr_start=270_mask=True/sample_1845|3.4337|3.3674|3.4732|0.2416|0.2523|0.6371|0.5968|3.7629|3.9577
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=100_skip=150_cp=112000_mel_text=True_phoneme-without-space/w1=1_w2=0.7_asr_start=270_mask=True/sample_610|4.3058|3.9091|4.0146|0.1777|0.2191|0.4862|0.416|4.0539|4.2593
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=100_skip=150_cp=112000_mel_text=True_phoneme-without-space/w1=1_w2=0.7_asr_start=270_mask=True/sample_504|2.9528|3.2111|3.3005|0.1926|0.1708|0.5738|0.5805|3.3688|3.4729
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=100_skip=150_cp=112000_mel_text=True_phoneme-without-space/w1=1_w2=0.7_asr_start=270_mask=True/sample_244|3.4575|3.0067|3.2502|0.3128|0.3075|0.5776|0.5496|3.5436|3.8544
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=100_skip=150_cp=112000_mel_text=True_phoneme-without-space/w1=1_w2=0.7_asr_start=270_mask=True/sample_2265|3.2054|3.2452|3.3364|0.2586|0.2413|0.6296|0.6292|3.5035|3.5531
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=100_skip=150_cp=112000_mel_text=True_phoneme-without-space/w1=1_w2=0.7_asr_start=270_mask=True/sample_909|4.3639|3.9112|4.0849|0.201|0.2356|0.3401|0.2882|4.1558|4.398
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=100_skip=150_cp=112000_mel_text=True_phoneme-without-space/w1=1_w2=0.7_asr_start=270_mask=True/sample_19|3.7329|2.9631|2.9559|0.4332|0.4939|0.5965|0.5911|3.6991|3.8883
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=100_skip=150_cp=112000_mel_text=True_phoneme-without-space/w1=1_w2=0.7_asr_start=270_mask=True/sample_404|3.7404|3.5233|3.6904|0.1532|0.1743|0.5147|0.4879|3.721|3.93
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=100_skip=150_cp=112000_mel_text=True_phoneme-without-space/w1=1_w2=0.7_asr_start=270_mask=True/sample_378|3.4874|2.9949|3.0441|0.372|0.4457|0.6234|0.6136|3.6643|3.9342
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=100_skip=150_cp=112000_mel_text=True_phoneme-without-space/w1=1_w2=0.7_asr_start=270_mask=True/sample_1697|3.1559|2.7837|3.0833|0.1267|0.169|0.5975|0.4831|2.9349|3.3868
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=100_skip=150_cp=112000_mel_text=True_phoneme-without-space/w1=1_w2=0.7_asr_start=270_mask=True/sample_2068|3.3742|2.7446|2.7875|0.2913|0.3511|0.6052|0.552|3.2131|3.4147
