exmaple|delays|explosions_length|start_explosions_original|snr|explosions_path|speech_path|transcript
0|[17012, 52572]|[18768, 24000]|[0, 0]|[-20, -17]|['/dsi/gannot-lab1/datasets/FSD50K/FSD50K.dev_audio_16k/266105.wav', '/dsi/gannot-lab1/datasets/FSD50K/FSD50K.dev_audio_16k/325666.wav']|/dsi/gannot-lab1/datasets/reverb_data/Test_complete/audio_final/example_4098.wav|IT IS TOO DIFFICULT REPLIED MADEMOISELLE DE TONNAY CHARENTE LAUGHING LOUDLY
1|[25870, 61825]|[24000, 24000]|[244208, 0]|[-20, -17]|['/dsi/gannot-lab1/datasets/FSD50K/FSD50K.dev_audio_16k/140204.wav', '/dsi/gannot-lab1/datasets/FSD50K/FSD50K.dev_audio_16k/186965.wav']|/dsi/gannot-lab1/datasets/reverb_data/Test_complete/audio_final/example_3348.wav|I LEFT INSTRUCTIONS FOR SHIPPING MY CONTAINERS OF STUFFED ANIMALS AND DRIED PLANTS TO PARIS FRANCE
2|[11070, 64559]|[24000, 11264]|[0, 130656]|[-10, -11]|['/dsi/gannot-lab1/datasets/FSD50K/FSD50K.dev_audio_16k/109745.wav', '/dsi/gannot-lab1/datasets/FSD50K/FSD50K.dev_audio_16k/171655.wav']|/dsi/gannot-lab1/datasets/reverb_data/Test_complete/audio_final/example_2495.wav|THIS I FELT WAS PAID TO ME AS BEING PRESIDENT OF THE REPUBLIC AND I ENDEAVOURED TO BEHAVE MYSELF WITH SUCH MINGLED HUMILITY AND DIGNITY AS MIGHT BEFIT THE OCCASION BUT I COULD NOT BUT FEEL THAT SOMETHING WAS WANTING TO THE SIMPLICITY OF MY ORDINARY LIFE
3|[14515, 62719]|[24000, 4688]|[0, 0]|[-20, -17]|['/dsi/gannot-lab1/datasets/FSD50K/FSD50K.dev_audio_16k/195874.wav', '/dsi/gannot-lab1/datasets/FSD50K/FSD50K.dev_audio_16k/222373.wav']|/dsi/gannot-lab1/datasets/reverb_data/Test_complete/audio_final/example_3809.wav|WILL WHISPERED ROBIN OPENING HIS DOOR AS HE SPOKE ARE YOU READY
4|[8212, 59149]|[7584, 24000]|[165440, 1696]|[-12, -17]|['/dsi/gannot-lab1/datasets/FSD50K/FSD50K.dev_audio_16k/75152.wav', '/dsi/gannot-lab1/datasets/FSD50K/FSD50K.dev_audio_16k/9677.wav']|/dsi/gannot-lab1/datasets/reverb_data/Test_complete/audio_final/example_2867.wav|THE LARGE LETTER CONTAINS INDEED ENTIRELY FEEBLE AND ILL DRAWN FIGURES THAT IS MERELY CHILDISH AND FAILING WORK OF AN INFERIOR HAND IT IS NOT CHARACTERISTIC OF GOTHIC OR ANY OTHER SCHOOL
5|[15055, 51039]|[5920, 24000]|[0, 0]|[-16, -14]|['/dsi/gannot-lab1/datasets/FSD50K/FSD50K.dev_audio_16k/67521.wav', '/dsi/gannot-lab1/datasets/FSD50K/FSD50K.dev_audio_16k/408122.wav']|/dsi/gannot-lab1/datasets/reverb_data/Test_complete/audio_final/example_1096.wav|IN THE DEBATE BETWEEN THE SENIOR SOCIETIES HER DEFENCE OF THE FIFTEENTH AMENDMENT HAD BEEN NOT ONLY A NOTABLE BIT OF REASONING BUT DELIVERED WITH REAL ENTHUSIASM
6|[19763, 56667]|[4832, 24000]|[0, 0]|[-20, -17]|['/dsi/gannot-lab1/datasets/FSD50K/FSD50K.dev_audio_16k/212602.wav', '/dsi/gannot-lab1/datasets/FSD50K/FSD50K.dev_audio_16k/149177.wav']|/dsi/gannot-lab1/datasets/reverb_data/Test_complete/audio_final/example_3839.wav|WITH HERACLEITUS HE ACKNOWLEDGES THE PERPETUAL FLUX LIKE ANAXAGORAS HE ASSERTS THE PREDOMINANCE OF MIND ALTHOUGH ADMITTING AN ELEMENT OF NECESSITY WHICH REASON IS INCAPABLE OF SUBDUING LIKE THE PYTHAGOREANS HE SUPPOSES THE MYSTERY OF THE WORLD TO BE CONTAINED IN NUMBER
7|[25571, 50582]|[24000, 19168]|[0, 8048]|[-10, -11]|['/dsi/gannot-lab1/datasets/FSD50K/FSD50K.dev_audio_16k/67561.wav', '/dsi/gannot-lab1/datasets/FSD50K/FSD50K.dev_audio_16k/268101.wav']|/dsi/gannot-lab1/datasets/reverb_data/Test_complete/audio_final/example_1366.wav|THEY LEFT HIM THEN FOR THE JAILER ARRIVED TO UNLOCK THE DOOR AND ESCORT THEM TO THE OFFICE
8|[19850, 49501]|[7088, 20912]|[0, 576]|[-20, -17]|['/dsi/gannot-lab1/datasets/FSD50K/FSD50K.dev_audio_16k/434255.wav', '/dsi/gannot-lab1/datasets/FSD50K/FSD50K.dev_audio_16k/434410.wav']|/dsi/gannot-lab1/datasets/reverb_data/Test_complete/audio_final/example_465.wav|SHE WAS NOT HERSELF A NOTABLY INTELLIGENT WOMAN SHE GREATLY ADMIRED INTELLIGENCE OR WHATEVER LOOKED TO HER LIKE INTELLIGENCE IN OTHERS
9|[10614, 60455]|[24000, 10592]|[0, 0]|[-12, -17]|['/dsi/gannot-lab1/datasets/FSD50K/FSD50K.dev_audio_16k/198331.wav', '/dsi/gannot-lab1/datasets/FSD50K/FSD50K.dev_audio_16k/378563.wav']|/dsi/gannot-lab1/datasets/reverb_data/Test_complete/audio_final/example_1024.wav|THE GLIMMERING SEA OF DELICATE LEAVES WHISPERED AND MURMURED BEFORE HER STRETCHING AWAY TO THE NORTHWARD
